Vin_A,Vin_B,Vin_C,TEMP,pvdd,Lmin,Wmin,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p,Leakage_power
0.0,0.0,0.0,67.68344178220306,0.9241429511831394,3.324549690355743e-08,2.456818642535813e-07,7.297255979816845e-10,7.637543589927499e-10,7.657657829517026e-10,5.214443649295436e-10,1.0001411166208956e-08,8.593140175193606e+18,7.634006845633084e-10,7.907734401310803e-10,7.42890337635961e-10,4.855188573083603e-10,9.843603198921232e-09,3.464717036929295e+18,7.800296225440594e-07
0.0,0.0,1.0,67.68344178220306,0.9241429511831394,3.324549690355743e-08,2.456818642535813e-07,7.297255979816845e-10,7.637543589927499e-10,7.657657829517026e-10,5.214443649295436e-10,1.0001411166208956e-08,8.593140175193606e+18,7.634006845633084e-10,7.907734401310803e-10,7.42890337635961e-10,4.855188573083603e-10,9.843603198921232e-09,3.464717036929295e+18,1.2860170201389943e-06
0.0,1.0,0.0,67.68344178220306,0.9241429511831394,3.324549690355743e-08,2.456818642535813e-07,7.297255979816845e-10,7.637543589927499e-10,7.657657829517026e-10,5.214443649295436e-10,1.0001411166208956e-08,8.593140175193606e+18,7.634006845633084e-10,7.907734401310803e-10,7.42890337635961e-10,4.855188573083603e-10,9.843603198921232e-09,3.464717036929295e+18,9.323349109093292e-07
0.0,1.0,1.0,67.68344178220306,0.9241429511831394,3.324549690355743e-08,2.456818642535813e-07,7.297255979816845e-10,7.637543589927499e-10,7.657657829517026e-10,5.214443649295436e-10,1.0001411166208956e-08,8.593140175193606e+18,7.634006845633084e-10,7.907734401310803e-10,7.42890337635961e-10,4.855188573083603e-10,9.843603198921232e-09,3.464717036929295e+18,2.7084702318125914e-06
1.0,0.0,0.0,67.68344178220306,0.9241429511831394,3.324549690355743e-08,2.456818642535813e-07,7.297255979816845e-10,7.637543589927499e-10,7.657657829517026e-10,5.214443649295436e-10,1.0001411166208956e-08,8.593140175193606e+18,7.634006845633084e-10,7.907734401310803e-10,7.42890337635961e-10,4.855188573083603e-10,9.843603198921232e-09,3.464717036929295e+18,8.474947646353072e-07
1.0,0.0,1.0,67.68344178220306,0.9241429511831394,3.324549690355743e-08,2.456818642535813e-07,7.297255979816845e-10,7.637543589927499e-10,7.657657829517026e-10,5.214443649295436e-10,1.0001411166208956e-08,8.593140175193606e+18,7.634006845633084e-10,7.907734401310803e-10,7.42890337635961e-10,4.855188573083603e-10,9.843603198921232e-09,3.464717036929295e+18,1.8605452949422276e-06
1.0,1.0,0.0,67.68344178220306,0.9241429511831394,3.324549690355743e-08,2.456818642535813e-07,7.297255979816845e-10,7.637543589927499e-10,7.657657829517026e-10,5.214443649295436e-10,1.0001411166208956e-08,8.593140175193606e+18,7.634006845633084e-10,7.907734401310803e-10,7.42890337635961e-10,4.855188573083603e-10,9.843603198921232e-09,3.464717036929295e+18,1.2186190297427704e-06
1.0,1.0,1.0,67.68344178220306,0.9241429511831394,3.324549690355743e-08,2.456818642535813e-07,7.297255979816845e-10,7.637543589927499e-10,7.657657829517026e-10,5.214443649295436e-10,1.0001411166208956e-08,8.593140175193606e+18,7.634006845633084e-10,7.907734401310803e-10,7.42890337635961e-10,4.855188573083603e-10,9.843603198921232e-09,3.464717036929295e+18,5.558994998248651e-06
0.0,0.0,0.0,-13.67771643692759,0.8192258731180073,3.492540556139299e-08,2.4840498119828384e-07,7.22811568487972e-10,7.20357228840274e-10,7.302636696890549e-10,4.902890593496473e-10,9.829928817466775e-09,8.237070320100309e+18,7.610368007030681e-10,7.83208918366591e-10,7.530178692199021e-10,4.735984903275777e-10,1.0358644596994189e-08,3.45381340282291e+18,2.401730525199308e-07
0.0,0.0,1.0,-13.67771643692759,0.8192258731180073,3.492540556139299e-08,2.4840498119828384e-07,7.22811568487972e-10,7.20357228840274e-10,7.302636696890549e-10,4.902890593496473e-10,9.829928817466775e-09,8.237070320100309e+18,7.610368007030681e-10,7.83208918366591e-10,7.530178692199021e-10,4.735984903275777e-10,1.0358644596994189e-08,3.45381340282291e+18,5.264173769826475e-07
